canonicalId,name,description,module,path,install_to_bmad
"bmad-sprint-planning","bmad-sprint-planning","根据 Epic 制定 Sprint 计划并建立跟踪。适用于用户说“执行 Sprint 规划”或“生成 Sprint 计划”时。","bmm","_bmad/bmm/workflows/4-implementation/bmad-sprint-planning/SKILL.md","true"
"bmad-sprint-status","bmad-sprint-status","汇总 Sprint 进展并及时暴露风险。适用于用户说“检查 Sprint 状态”或“展示 Sprint 状态”时。","bmm","_bmad/bmm/workflows/4-implementation/bmad-sprint-status/SKILL.md","true"
"bmad-document-project","bmad-document-project","为现有项目补齐文档，方便 AI 获取上下文。适用于用户说“文档化这个项目”或“生成项目文档”时。","bmm","_bmad/bmm/workflows/bmad-document-project/SKILL.md","true"
"bmad-generate-project-context","bmad-generate-project-context","创建包含 AI 工作规则的 项目上下文.md。适用于用户说“生成项目上下文”或“创建项目上下文”时。","bmm","_bmad/bmm/workflows/bmad-generate-project-context/SKILL.md","true"
"bmad-qa-generate-e2e-tests","bmad-qa-generate-e2e-tests","为现有功能补齐端到端自动化测试。适用于用户说“为某个功能创建 QA 自动化测试”时。","bmm","_bmad/bmm/workflows/bmad-qa-generate-e2e-tests/SKILL.md","true"
"bmad-quick-dev","bmad-quick-dev","按照 Quick Tech Spec 实现小改动或小功能。适用于用户提供 quick tech spec 并说“实现这个 quick spec”时。","bmm","_bmad/bmm/workflows/bmad-quick-flow/bmad-quick-dev/SKILL.md","true"
"bmad-quick-dev-new-preview","bmad-quick-dev-new-preview","根据用户意图、需求、Story、缺陷修复或变更请求产出干净可运行的实现结果，并遵循项目现有架构、模式与约定。适用于用户想构建、修复、调整、重构、添加或修改任何代码、组件或功能时。","bmm","_bmad/bmm/workflows/bmad-quick-flow/bmad-quick-dev-new-preview/SKILL.md","true"
"bmad-quick-spec","bmad-quick-spec","用极简流程为小改动或小功能整理出可直接落地的 quick spec。适用于用户说“创建 quick spec”或“生成 quick tech spec”时。","bmm","_bmad/bmm/workflows/bmad-quick-flow/bmad-quick-spec/SKILL.md","true"
"bmad-agent-builder","bmad-agent-builder","通过对话方式创建、编辑或检查 Agent Skill，适合用来打磨 BMAD 角色本身。适用于用户请求“创建 Agent”“优化 Agent”或“编辑 Agent”时。","bmb","_bmad/bmb/skills/bmad-agent-builder/SKILL.md","true"
"bmad-workflow-builder","bmad-workflow-builder","通过对话方式创建、编辑或检查工作流与技能，适合用来打磨 BMAD 工作流本身。适用于用户请求“构建工作流”“修改工作流”“检查工作流质量”或“优化技能”时。","bmb","_bmad/bmb/skills/bmad-workflow-builder/SKILL.md","true"
"bmad-cis-design-thinking","bmad-cis-design-thinking","用同理心驱动的方式，引导以人为中心的设计流程。适用于用户说“我们来做设计思维”或“我想应用设计思维”时。","cis","_bmad/cis/workflows/bmad-cis-design-thinking/SKILL.md","true"
"bmad-cis-innovation-strategy","bmad-cis-innovation-strategy","识别颠覆式机会，设计更有突破性的商业模式。适用于用户说“我们来做创新战略”或“我想寻找颠覆机会”时。","cis","_bmad/cis/workflows/bmad-cis-innovation-strategy/SKILL.md","true"
"bmad-cis-problem-solving","bmad-cis-problem-solving","用系统化方法拆解复杂挑战，帮助你从混乱问题里找出清晰解法。适用于用户说“带我做结构化问题求解”或“我想用引导式方法攻克这个难题”时。","cis","_bmad/cis/workflows/bmad-cis-problem-solving/SKILL.md","true"
"bmad-cis-storytelling","bmad-cis-storytelling","用成熟的叙事框架，帮你把想法讲得更有感染力和说服力。适用于用户说“帮我做 storytelling”或“我想通过讲故事来构建叙事”时。","cis","_bmad/cis/workflows/bmad-cis-storytelling/SKILL.md","true"
"gds-brainstorm-game","gds-brainstorm-game","用游戏领域的专门方法引导头脑风暴。适用于用户说“brainstorm game”或“来点游戏创意”时。","gds","_bmad/gds/workflows/1-preproduction/gds-brainstorm-game/SKILL.md","true"
"gds-create-game-brief","gds-create-game-brief","通过互动式引导，帮助用户明确游戏愿景并产出游戏简报。适用于用户说“game brief”或“create brief”时。","gds","_bmad/gds/workflows/1-preproduction/gds-create-game-brief/SKILL.md","true"
"gds-domain-research","gds-domain-research","开展游戏领域与行业研究。适用于用户说“为某个游戏领域或行业创建研究报告”时。","gds","_bmad/gds/workflows/1-preproduction/research/gds-domain-research/SKILL.md","true"
"gds-create-gdd","gds-create-gdd","创建包含核心机制与实现指引的游戏设计文档。适用于用户说“创建 GDD”或“game design document”时。","gds","_bmad/gds/workflows/2-design/gds-create-gdd/SKILL.md","true"
"gds-create-narrative","gds-create-narrative","创建涵盖故事结构与世界观设定的完整叙事文档。适用于用户说“narrative design”或“create narrative”时。","gds","_bmad/gds/workflows/2-design/gds-create-narrative/SKILL.md","true"
"gds-create-ux-design","gds-create-ux-design","为游戏 UI/HUD 元素规划 UX 模式与设计规范。适用于用户说“我们来做 UX 设计”“创建 UX 规范”或“帮我规划游戏 UX”时。","gds","_bmad/gds/workflows/2-design/gds-create-ux-design/SKILL.md","true"
"gds-check-implementation-readiness","gds-check-implementation-readiness","在进入制作前检查 GDD、UX、架构与 Epic 是否已经对齐。适用于用户说“检查就绪度”或“implementation readiness”时。","gds","_bmad/gds/workflows/3-technical/gds-check-implementation-readiness/SKILL.md","true"
"gds-create-epics-and-stories","gds-create-epics-and-stories","根据 GDD 将需求拆解成开发可用的 Epic 与 Story。适用于用户说“创建 epics”或“创建 stories”时。","gds","_bmad/gds/workflows/3-technical/gds-create-epics-and-stories/SKILL.md","true"
"gds-game-architecture","gds-game-architecture","设计兼顾引擎系统与网络能力的可扩展游戏架构。适用于用户说“game architecture”或“design architecture”时。","gds","_bmad/gds/workflows/3-technical/gds-game-architecture/SKILL.md","true"
"gds-generate-project-context","gds-generate-project-context","创建为 AI 智能体协作优化的 项目上下文.md。适用于用户说“project context”或“generate context”时。","gds","_bmad/gds/workflows/3-technical/gds-generate-project-context/SKILL.md","true"
"gds-code-review","gds-code-review","做一轮彻底的代码审查，找出缺陷与质量问题。适用于用户说“review this code”或“do a code review”时。","gds","_bmad/gds/workflows/4-production/gds-code-review/SKILL.md","true"
"gds-correct-course","gds-correct-course","在 Sprint 实施偏离目标时处理重大变更与纠偏。适用于用户说“correct course”或“we need a course correction”时。","gds","_bmad/gds/workflows/4-production/gds-correct-course/SKILL.md","true"
"gds-create-story","gds-create-story","创建包含后续实现所需全部上下文的独立 Story 文件。适用于用户说“create the next story”或“create story [story identifier]”时。","gds","_bmad/gds/workflows/4-production/gds-create-story/SKILL.md","true"
"gds-dev-story","gds-dev-story","依据上下文完整的 Story 规范文件执行开发实现。适用于用户说“dev this story [story file]”或“implement the next story in the sprint plan”时。","gds","_bmad/gds/workflows/4-production/gds-dev-story/SKILL.md","true"
"gds-retrospective","gds-retrospective","在完成一个游戏开发 Epic 后开展复盘。适用于用户说“run a retrospective”或“lets do a retro”时。","gds","_bmad/gds/workflows/4-production/gds-retrospective/SKILL.md","true"
"gds-sprint-planning","gds-sprint-planning","根据 Epic 文件制定或更新 Sprint 计划与状态。适用于用户说“plan the sprint”或“create sprint plan”时。","gds","_bmad/gds/workflows/4-production/gds-sprint-planning/SKILL.md","true"
"gds-sprint-status","gds-sprint-status","汇总当前 Sprint 进展并暴露风险。适用于用户说“sprint status”或“how is the sprint going”时。","gds","_bmad/gds/workflows/4-production/gds-sprint-status/SKILL.md","true"
"gds-e2e-scaffold","gds-e2e-scaffold","搭建端到端测试基础设施。适用于用户说“e2e scaffold”或“set up e2e testing”时。","gds","_bmad/gds/workflows/gametest/gds-e2e-scaffold/SKILL.md","true"
"gds-performance-test","gds-performance-test","设计游戏性能测试策略。适用于用户说“performance test”或“benchmark”时。","gds","_bmad/gds/workflows/gametest/gds-performance-test/SKILL.md","true"
"gds-playtest-plan","gds-playtest-plan","围绕玩家反馈设计结构化试玩计划。适用于用户说“playtest plan”或“playtesting”时。","gds","_bmad/gds/workflows/gametest/gds-playtest-plan/SKILL.md","true"
"gds-test-automate","gds-test-automate","为玩法系统生成自动化测试。适用于用户说“automate tests”或“generate tests”时。","gds","_bmad/gds/workflows/gametest/gds-test-automate/SKILL.md","true"
"gds-test-design","gds-test-design","创建完整的游戏测试场景。适用于用户说“test design”或“design tests”时。","gds","_bmad/gds/workflows/gametest/gds-test-design/SKILL.md","true"
"gds-test-framework","gds-test-framework","为 Unity、Unreal 或 Godot 初始化测试框架。适用于用户说“test framework”或“set up testing”时。","gds","_bmad/gds/workflows/gametest/gds-test-framework/SKILL.md","true"
"gds-test-review","gds-test-review","审查测试质量与覆盖率。适用于用户说“test review”或“review tests”时。","gds","_bmad/gds/workflows/gametest/gds-test-review/SKILL.md","true"
"gds-document-project","gds-document-project","分析现有游戏项目并补齐高价值文档。适用于用户说“document project”或“generate docs”时。","gds","_bmad/gds/workflows/gds-document-project/SKILL.md","true"
"gds-quick-dev","gds-quick-dev","灵活的开发工作流，可按 tech spec 或直接指令推进，并可按需加入规划步骤。适用于用户说“lets implement this feature”或“execute these development tasks”时。","gds","_bmad/gds/workflows/gds-quick-flow/gds-quick-dev/SKILL.md","true"
"gds-quick-dev-new-preview","gds-quick-dev-new-preview","根据用户意图、GDD 需求、Story、缺陷修复或变更请求产出干净可运行的代码成果，并遵循项目现有游戏架构、模式与约定。适用于用户想构建、修复、调整、重构、添加或修改任何游戏代码、组件或功能时。","gds","_bmad/gds/workflows/gds-quick-flow/gds-quick-dev-new-preview/SKILL.md","true"
"gds-quick-spec","gds-quick-spec","为可落地的 Story 整理技术规格。适用于用户说“quick spec”或“tech spec”时。","gds","_bmad/gds/workflows/gds-quick-flow/gds-quick-spec/SKILL.md","true"
"bmad-teach-me-testing","bmad-teach-me-testing","通过结构化课程，循序渐进地带你学习测试。适用于用户说“我们来学测试”或“我想系统学习测试实践”时。","tea","_bmad/tea/workflows/testarch/bmad-teach-me-testing/SKILL.md","true"
"bmad-testarch-atdd","bmad-testarch-atdd","按 TDD 循环先写出会失败的验收测试。适用于用户说“我们来写验收测试”或“我想做 ATDD”时。","tea","_bmad/tea/workflows/testarch/bmad-testarch-atdd/SKILL.md","true"
"bmad-testarch-automate","bmad-testarch-automate","为代码库补齐并扩展测试自动化覆盖。适用于用户说“我们来扩大测试覆盖”或“我想自动化测试”时。","tea","_bmad/tea/workflows/testarch/bmad-testarch-automate/SKILL.md","true"
"bmad-testarch-ci","bmad-testarch-ci","搭建带测试执行与质量门的 CI/CD 流水线。适用于用户说“我们来搭 CI 流水线”或“我想建立质量门”时。","tea","_bmad/tea/workflows/testarch/bmad-testarch-ci/SKILL.md","true"
"bmad-testarch-framework","bmad-testarch-framework","使用 Playwright 或 Cypress 初始化测试框架。适用于用户说“我们来搭测试框架”或“我想初始化测试框架”时。","tea","_bmad/tea/workflows/testarch/bmad-testarch-framework/SKILL.md","true"
"bmad-testarch-nfr","bmad-testarch-nfr","评估性能、安全、可靠性等非功能性需求。适用于用户说“我们来评估 NFR”或“我想评估非功能性需求”时。","tea","_bmad/tea/workflows/testarch/bmad-testarch-nfr/SKILL.md","true"
"bmad-testarch-test-design","bmad-testarch-test-design","创建系统级或 Epic 级测试计划。适用于用户说“我们来设计测试计划”或“我想创建测试策略”时。","tea","_bmad/tea/workflows/testarch/bmad-testarch-test-design/SKILL.md","true"
"bmad-testarch-test-review","bmad-testarch-test-review","依据最佳实践审查测试质量与覆盖薄弱点。适用于用户说“我们来审测试”或“我想评估测试质量”时。","tea","_bmad/tea/workflows/testarch/bmad-testarch-test-review/SKILL.md","true"
"bmad-testarch-trace","bmad-testarch-trace","生成追踪矩阵，并支持质量门决策。适用于用户说“我们来创建 traceability matrix”或“我想分析测试覆盖率”时。","tea","_bmad/tea/workflows/testarch/bmad-testarch-trace/SKILL.md","true"
